adapt_step,fmg_vel_ksp_its,fmg_snes_reason,fmg_t_stokes_s,gamg_vel_ksp_its,gamg_snes_reason,gamg_t_stokes_s
1,5,3,2.97,113,3,4.02
2,4,3,2.83,64,3,18.54
3,3,3,5.85,111,3,6.18
4,3,3,4.79,112,3,6.00
5,4,3,2.93,71,3,15.83
6,4,3,3.11,87,3,17.88
7,4,3,2.98,90,3,17.81
8,5,3,4.57,107,3,6.41
9,4,3,10.12,89,3,15.76
10,4,3,9.46,90,3,16.02
11,4,3,9.42,112,3,12.17
12,5,3,7.87,112,3,16.04
13,5,3,5.01,79,3,17.48
14,5,3,8.23,111,3,16.68
15,4,3,8.09,113,3,18.80
16,5,3,8.29,116,3,15.58
17,5,3,8.23,116,3,18.02
18,5,3,9.10,113,3,21.25
19,5,3,10.11,115,3,21.99
20,6,3,9.84,69,3,24.06
21,6,3,10.44,123,3,22.41
22,6,3,11.00,122,3,24.98
23,5,3,12.64,117,3,25.87
24,5,3,13.22,112,3,21.44
25,5,3,16.53,87,3,37.25
26,5,3,15.86,118,3,35.63
27,5,3,20.67,122,3,29.64
28,4,3,21.11,124,3,32.49
29,5,3,32.59,131,3,31.71
30,6,3,33.49,127,3,27.85
31,5,3,21.81,127,3,21.79
32,5,3,25.16,125,3,22.17
33,5,3,20.27,122,3,22.54
34,5,3,16.23,118,3,24.23
35,6,3,15.01,117,3,20.54
36,6,3,14.84,114,3,18.34
37,6,3,12.57,114,3,18.48
38,6,3,12.76,113,3,22.77
39,5,3,13.56,108,3,21.46
40,5,3,12.73,90,3,21.64
41,6,3,12.76,115,3,18.44
42,5,3,12.16,115,3,19.01
43,5,3,11.32,115,3,17.96
44,5,3,10.94,88,3,22.03
45,5,3,10.85,118,3,22.92
46,5,3,10.52,98,3,26.26
47,5,3,9.12,108,3,16.03
48,5,3,9.08,124,3,15.25
49,5,3,8.91,124,3,15.04
50,5,3,8.75,119,3,15.42
